time,latitude,longitude,ugrd10m,time_run,vgrd10m,WS,WD
2023-11-28 12:00:00,0.5,7.5,-1.6872656,2023-11-27 12:00:00,4.8646655,5.149,109.13
2023-11-28 12:00:00,0.5,8.0,-0.6772656,2023-11-27 12:00:00,4.3346653,4.3873,98.88
2023-11-28 12:00:00,0.5,8.5,-0.4372656,2023-11-27 12:00:00,4.4246655,4.4462,95.64
2023-11-28 12:00:00,0.5,9.0,-0.15726562,2023-11-27 12:00:00,4.5746655,4.5774,91.97
2023-11-28 12:00:00,0.5,9.5,-0.29726562,2023-11-27 12:00:00,3.5046654,3.5172,94.85
2023-11-28 12:00:00,0.5,10.0,-0.48726562,2023-11-27 12:00:00,2.0346656,2.0922,103.47
2023-11-28 12:00:00,0.5,10.5,0.95273435,2023-11-27 12:00:00,1.8646655,2.094,62.94
2023-11-28 12:00:00,0.5,11.0,1.1027343,2023-11-27 12:00:00,1.7746655,2.0894,58.14
2023-11-28 12:00:00,0.5,11.5,1.4127344,2023-11-27 12:00:00,1.5046655,2.0639,46.8
2023-11-28 12:00:00,0.5,12.0,1.0327344,2023-11-27 12:00:00,1.5046655,1.825,55.54
2023-11-28 12:00:00,0.5,12.5,1.5327344,2023-11-27 12:00:00,0.7946655,1.7265,27.41
2023-11-28 12:00:00,0.5,13.0,1.4227344,2023-11-27 12:00:00,0.9446655,1.7078,33.58
2023-11-28 12:00:00,0.5,13.5,1.4827343,2023-11-27 12:00:00,0.6746655,1.629,24.47
2023-11-28 12:00:00,0.5,14.0,1.4927343,2023-11-27 12:00:00,0.7846655,1.6864,27.73
2023-11-28 12:00:00,0.5,14.5,0.9827344,2023-11-27 12:00:00,0.5546655,1.1285,29.44
2023-11-28 12:00:00,0.5,15.0,0.6127344,2023-11-27 12:00:00,1.1046655,1.2632,60.98
2023-11-28 12:00:00,0.5,15.5,1.5527344,2023-11-27 12:00:00,0.7546655,1.7264,25.92
2023-11-28 12:00:00,0.5,16.0,0.52273434,2023-11-27 12:00:00,1.1946656,1.304,66.37
2023-11-28 12:00:00,0.5,16.5,0.9927344,2023-11-27 12:00:00,0.8846655,1.3297,41.71
2023-11-28 12:00:00,0.5,17.0,1.2327343,2023-11-27 12:00:00,1.1146655,1.662,42.12
2023-11-28 12:00:00,0.5,17.5,0.72273433,2023-11-27 12:00:00,1.0546654,1.2785,55.58
2023-11-28 12:00:00,0.5,18.0,1.8327343,2023-11-27 12:00:00,2.0446656,2.7458,48.13
2023-11-28 12:00:00,0.5,18.5,-0.8272656,2023-11-27 12:00:00,1.2246655,1.4779,124.04
2023-11-28 12:00:00,0.5,19.0,0.46273437,2023-11-27 12:00:00,1.6346655,1.6989,74.19
2023-11-28 12:00:00,0.5,19.5,1.0827343,2023-11-27 12:00:00,1.6446655,1.9691,56.64
2023-11-28 12:00:00,0.5,20.0,0.07273437,2023-11-27 12:00:00,2.5346656,2.5357,88.36
2023-11-28 12:00:00,0.5,20.5,0.122734375,2023-11-27 12:00:00,1.2746655,1.2806,84.5
2023-11-28 12:00:00,0.5,21.0,-0.17726561,2023-11-27 12:00:00,-0.26533446,0.3191,-123.75
2023-11-28 12:00:00,0.5,21.5,-0.7072656,2023-11-27 12:00:00,-0.45533445,0.8412,-147.23
2023-11-28 12:00:00,0.5,22.0,0.9927344,2023-11-27 12:00:00,-0.47533447,1.1007,-25.59
2023-11-28 12:00:00,0.5,22.5,0.36273438,2023-11-27 12:00:00,-0.06533447,0.3686,-10.21
2023-11-28 12:00:00,0.5,23.0,-0.68726563,2023-11-27 12:00:00,-1.2853345,1.4575,-118.13
2023-11-28 12:00:00,0.5,23.5,-0.8572656,2023-11-27 12:00:00,-1.0853344,1.3831,-128.3
2023-11-28 12:00:00,0.5,24.0,-1.1872656,2023-11-27 12:00:00,-0.72533447,1.3913,-148.58
2023-11-28 12:00:00,0.5,24.5,-0.38726562,2023-11-27 12:00:00,-0.85533446,0.9389,-114.36
2023-11-28 12:00:00,0.5,25.0,-0.8672656,2023-11-27 12:00:00,-0.5253345,1.014,-148.8
2023-11-28 12:00:00,0.5,25.5,-0.7672656,2023-11-27 12:00:00,-0.5853345,0.965,-142.66
2023-11-28 12:00:00,0.5,26.0,0.53273433,2023-11-27 12:00:00,-0.5853345,0.7915,-47.69
2023-11-28 12:00:00,0.5,26.5,0.53273433,2023-11-27 12:00:00,-0.9653345,1.1026,-61.11
2023-11-28 12:00:00,0.5,27.0,0.40273437,2023-11-27 12:00:00,0.8746655,0.9629,65.28
2023-11-28 12:00:00,0.5,27.5,-1.1472656,2023-11-27 12:00:00,-1.2653345,1.708,-132.2
2023-11-28 12:00:00,0.5,28.0,0.35273436,2023-11-27 12:00:00,-1.0253345,1.0843,-71.02
2023-11-28 12:00:00,0.5,28.5,0.47273436,2023-11-27 12:00:00,0.4546655,0.6559,43.88
2023-11-28 12:00:00,0.5,29.0,0.78273433,2023-11-27 12:00:00,-1.2953345,1.5135,-58.86
2023-11-28 12:00:00,0.5,29.5,-1.5972656,2023-11-27 12:00:00,-0.73533446,1.7584,-155.28
2023-11-28 12:00:00,0.5,30.0,-0.8072656,2023-11-27 12:00:00,-0.12533447,0.8169,-171.17
2023-11-28 12:00:00,0.5,30.5,0.092734374,2023-11-27 12:00:00,-1.4253345,1.4283,-86.28
2023-11-28 12:00:00,1.0,0.0,-1.2372656,2023-11-27 12:00:00,2.7146654,2.9833,114.5
2023-11-28 12:00:00,1.0,0.5,-0.8572656,2023-11-27 12:00:00,3.0146654,3.1342,105.87
2023-11-28 12:00:00,1.0,1.0,-1.3472656,2023-11-27 12:00:00,2.8146656,3.1205,115.58
2023-11-28 12:00:00,1.0,1.5,-0.7372656,2023-11-27 12:00:00,2.7346654,2.8323,105.09
2023-11-28 12:00:00,1.0,2.0,-0.62726563,2023-11-27 12:00:00,2.4946654,2.5723,104.11
2023-11-28 12:00:00,1.0,2.5,-0.23726562,2023-11-27 12:00:00,3.4146655,3.4229,93.97
2023-11-28 12:00:00,1.0,3.0,-0.8872656,2023-11-27 12:00:00,3.9646654,4.0627,102.61
2023-11-28 12:00:00,1.0,3.5,-1.1672657,2023-11-27 12:00:00,4.1146655,4.277,105.84
2023-11-28 12:00:00,1.0,4.0,-1.0072656,2023-11-27 12:00:00,4.3746653,4.4891,102.97
2023-11-28 12:00:00,1.0,4.5,-0.62726563,2023-11-27 12:00:00,4.7546654,4.7959,97.52
2023-11-28 12:00:00,1.0,5.0,-0.5272656,2023-11-27 12:00:00,4.7646656,4.7938,96.31
2023-11-28 12:00:00,1.0,5.5,-0.26726562,2023-11-27 12:00:00,5.0446653,5.0517,93.03
2023-11-28 12:00:00,1.0,6.0,-0.38726562,2023-11-27 12:00:00,5.4246655,5.4385,94.08
2023-11-28 12:00:00,1.0,6.5,0.45273435,2023-11-27 12:00:00,3.1246655,3.1573,81.76
2023-11-28 12:00:00,1.0,7.0,-0.3372656,2023-11-27 12:00:00,4.5946655,4.607,94.2
2023-11-28 12:00:00,1.0,7.5,-1.0572656,2023-11-27 12:00:00,4.9746656,5.0858,102.0
2023-11-28 12:00:00,1.0,8.0,-0.3672656,2023-11-27 12:00:00,4.9046655,4.9184,94.28
2023-11-28 12:00:00,1.0,8.5,-0.007265625,2023-11-27 12:00:00,5.1946654,5.1947,90.08
2023-11-28 12:00:00,1.0,9.0,-0.68726563,2023-11-27 12:00:00,5.4746656,5.5176,97.16
2023-11-28 12:00:00,1.0,9.5,1.5627344,2023-11-27 12:00:00,3.4946654,3.8282,65.91
2023-11-28 12:00:00,1.0,10.0,0.44273436,2023-11-27 12:00:00,2.4846654,2.5238,79.9
2023-11-28 12:00:00,1.0,10.5,0.51273435,2023-11-27 12:00:00,1.3646655,1.4578,69.41
2023-11-28 12:00:00,1.0,11.0,0.7427344,2023-11-27 12:00:00,1.2846655,1.4839,59.97
2023-11-28 12:00:00,1.0,11.5,1.4627343,2023-11-27 12:00:00,1.0146655,1.7802,34.75
2023-11-28 12:00:00,1.0,12.0,0.6827344,2023-11-27 12:00:00,0.9146655,1.1414,53.26
2023-11-28 12:00:00,1.0,12.5,1.4227344,2023-11-27 12:00:00,0.83466554,1.6495,30.4
2023-11-28 12:00:00,1.0,13.0,1.3827343,2023-11-27 12:00:00,0.6346655,1.5214,24.65
2023-11-28 12:00:00,1.0,13.5,1.2827344,2023-11-27 12:00:00,0.58466554,1.4097,24.5
2023-11-28 12:00:00,1.0,14.0,1.6127343,2023-11-27 12:00:00,0.7846655,1.7935,25.94
2023-11-28 12:00:00,1.0,14.5,1.4327344,2023-11-27 12:00:00,0.38466552,1.4835,15.03
2023-11-28 12:00:00,1.0,15.0,0.002734375,2023-11-27 12:00:00,0.22466552,0.2247,89.3
2023-11-28 12:00:00,1.0,15.5,0.8527343,2023-11-27 12:00:00,0.9846655,1.3026,49.11
2023-11-28 12:00:00,1.0,16.0,0.83273435,2023-11-27 12:00:00,0.8946655,1.2222,47.05
2023-11-28 12:00:00,1.0,16.5,1.2327343,2023-11-27 12:00:00,1.0746655,1.6354,41.08
2023-11-28 12:00:00,1.0,17.0,0.87273437,2023-11-27 12:00:00,1.2446655,1.5202,54.96
2023-11-28 12:00:00,1.0,17.5,1.0927343,2023-11-27 12:00:00,0.44466552,1.1797,22.14
2023-11-28 12:00:00,1.0,18.0,-0.027265625,2023-11-27 12:00:00,1.6246655,1.6249,90.96
2023-11-28 12:00:00,1.0,18.5,-0.5272656,2023-11-27 12:00:00,0.104665525,0.5376,168.77
2023-11-28 12:00:00,1.0,19.0,-0.4372656,2023-11-27 12:00:00,-1.8153344,1.8673,-103.54
2023-11-28 12:00:00,1.0,19.5,1.3427343,2023-11-27 12:00:00,-1.8353344,2.2741,-53.81
2023-11-28 12:00:00,1.0,20.0,-0.6972656,2023-11-27 12:00:00,-2.2253344,2.332,-107.4
2023-11-28 12:00:00,1.0,20.5,0.78273433,2023-11-27 12:00:00,-1.7553344,1.9219,-65.97
2023-11-28 12:00:00,1.0,21.0,-1.0272655,2023-11-27 12:00:00,-0.63533443,1.2079,-148.26
2023-11-28 12:00:00,1.0,21.5,-0.9272656,2023-11-27 12:00:00,-0.38533446,1.0041,-157.43
2023-11-28 12:00:00,1.0,22.0,-0.6672656,2023-11-27 12:00:00,-0.36533445,0.7607,-151.3
2023-11-28 12:00:00,1.0,22.5,-0.7772656,2023-11-27 12:00:00,-1.2753345,1.4935,-121.36
2023-11-28 12:00:00,1.0,23.0,-1.6972656,2023-11-27 12:00:00,-0.8453345,1.8961,-153.52
2023-11-28 12:00:00,1.0,23.5,-0.25726563,2023-11-27 12:00:00,-0.86533445,0.9028,-106.56
2023-11-28 12:00:00,1.0,24.0,0.092734374,2023-11-27 12:00:00,-1.5753344,1.5781,-86.63
2023-11-28 12:00:00,1.0,24.5,-0.5872656,2023-11-27 12:00:00,-1.6653345,1.7658,-109.42
2023-11-28 12:00:00,1.0,25.0,-0.7872656,2023-11-27 12:00:00,-0.8953345,1.1922,-131.33
2023-11-28 12:00:00,1.0,25.5,-0.6772656,2023-11-27 12:00:00,-1.0953344,1.2878,-121.73
2023-11-28 12:00:00,1.0,26.0,-0.6372656,2023-11-27 12:00:00,-0.86533445,1.0747,-126.37
2023-11-28 12:00:00,1.0,26.5,-0.06726562,2023-11-27 12:00:00,-1.1453345,1.1473,-93.36
2023-11-28 12:00:00,1.0,27.0,-0.38726562,2023-11-27 12:00:00,-1.3053344,1.3616,-106.52
2023-11-28 12:00:00,1.0,27.5,-1.0872656,2023-11-27 12:00:00,-1.4253345,1.7927,-127.34
2023-11-28 12:00:00,1.0,28.0,-0.4272656,2023-11-27 12:00:00,-0.25533447,0.4977,-149.14
2023-11-28 12:00:00,1.0,28.5,0.16273437,2023-11-27 12:00:00,-0.50533444,0.5309,-72.15
2023-11-28 12:00:00,1.0,29.0,-0.5472656,2023-11-27 12:00:00,-1.3953345,1.4988,-111.42
2023-11-28 12:00:00,1.0,29.5,-0.06726562,2023-11-27 12:00:00,-1.1853344,1.1872,-93.25
2023-11-28 12:00:00,1.0,30.0,-1.9772656,2023-11-27 12:00:00,-1.7053344,2.6111,-139.22
2023-11-28 12:00:00,1.0,30.5,-2.0772655,2023-11-27 12:00:00,-1.8753344,2.7986,-137.92
2023-11-28 12:00:00,1.5,0.0,-0.3372656,2023-11-27 12:00:00,2.4846654,2.5075,97.73
2023-11-28 12:00:00,1.5,0.5,-0.38726562,2023-11-27 12:00:00,2.3246655,2.3567,99.46
2023-11-28 12:00:00,1.5,1.0,-0.21726562,2023-11-27 12:00:00,2.6246655,2.6336,94.73
2023-11-28 12:00:00,1.5,1.5,-0.6772656,2023-11-27 12:00:00,3.1746655,3.2461,102.04
2023-11-28 12:00:00,1.5,2.0,0.72273433,2023-11-27 12:00:00,3.1046655,3.1877,76.9
2023-11-28 12:00:00,1.5,2.5,0.7327344,2023-11-27 12:00:00,3.7946653,3.8648,79.07
2023-11-28 12:00:00,1.5,3.0,-0.6572656,2023-11-27 12:00:00,3.7146654,3.7724,100.03
2023-11-28 12:00:00,1.5,3.5,0.122734375,2023-11-27 12:00:00,3.5446653,3.5468,88.02
2023-11-28 12:00:00,1.5,4.0,-0.45726562,2023-11-27 12:00:00,4.0046654,4.0307,96.51
2023-11-28 12:00:00,1.5,4.5,0.002734375,2023-11-27 12:00:00,4.3046656,4.3047,89.96
2023-11-28 12:00:00,1.5,5.0,0.45273435,2023-11-27 12:00:00,4.6246653,4.6468,84.41
2023-11-28 12:00:00,1.5,5.5,0.10273437,2023-11-27 12:00:00,5.184665,5.1857,88.86
2023-11-28 12:00:00,1.5,6.0,0.13273437,2023-11-27 12:00:00,5.1246653,5.1264,88.52
2023-11-28 12:00:00,1.5,6.5,-0.28726563,2023-11-27 12:00:00,4.8346653,4.8432,93.4
2023-11-28 12:00:00,1.5,7.0,-0.22726563,2023-11-27 12:00:00,5.3746653,5.3795,92.42
2023-11-28 12:00:00,1.5,7.5,0.022734374,2023-11-27 12:00:00,5.3046656,5.3047,89.75
2023-11-28 12:00:00,1.5,8.0,-0.31726563,2023-11-27 12:00:00,5.6746655,5.6835,93.2
2023-11-28 12:00:00,1.5,8.5,0.50273436,2023-11-27 12:00:00,5.5146656,5.5375,84.79
2023-11-28 12:00:00,1.5,9.0,-0.3672656,2023-11-27 12:00:00,6.2146654,6.2255,93.38
2023-11-28 12:00:00,1.5,9.5,2.8527343,2023-11-27 12:00:00,4.9046655,5.674,59.82
2023-11-28 12:00:00,1.5,10.0,1.2727344,2023-11-27 12:00:00,1.2246655,1.7663,43.9
2023-11-28 12:00:00,1.5,10.5,0.23273437,2023-11-27 12:00:00,0.7946655,0.828,73.68
2023-11-28 12:00:00,1.5,11.0,-0.057265624,2023-11-27 12:00:00,0.9346655,0.9364,93.51
2023-11-28 12:00:00,1.5,11.5,0.39273438,2023-11-27 12:00:00,1.2046655,1.2671,71.94
2023-11-28 12:00:00,1.5,12.0,0.52273434,2023-11-27 12:00:00,1.2546655,1.3592,67.38
2023-11-28 12:00:00,1.5,12.5,0.64273435,2023-11-27 12:00:00,1.3446655,1.4904,64.45
2023-11-28 12:00:00,1.5,13.0,0.83273435,2023-11-27 12:00:00,1.3846655,1.6158,58.98
2023-11-28 12:00:00,1.5,13.5,1.2627343,2023-11-27 12:00:00,1.0046655,1.6136,38.51
2023-11-28 12:00:00,1.5,14.0,1.5527344,2023-11-27 12:00:00,0.8246655,1.7581,27.97
2023-11-28 12:00:00,1.5,14.5,0.95273435,2023-11-27 12:00:00,0.28466552,0.9944,16.64
2023-11-28 12:00:00,1.5,15.0,1.1327343,2023-11-27 12:00:00,0.064665526,1.1346,3.27
2023-11-28 12:00:00,1.5,15.5,0.36273438,2023-11-27 12:00:00,0.9546655,1.0213,69.2
2023-11-28 12:00:00,1.5,16.0,0.62273437,2023-11-27 12:00:00,0.3346655,0.707,28.25
2023-11-28 12:00:00,1.5,16.5,0.49273437,2023-11-27 12:00:00,1.1646655,1.2646,67.07
2023-11-28 12:00:00,1.5,17.0,1.5327344,2023-11-27 12:00:00,0.21466552,1.5477,7.97
2023-11-28 12:00:00,1.5,17.5,0.83273435,2023-11-27 12:00:00,1.1246655,1.3994,53.48
2023-11-28 12:00:00,1.5,18.0,0.40273437,2023-11-27 12:00:00,-0.5153345,0.654,-51.99
2023-11-28 12:00:00,1.5,18.5,-0.8572656,2023-11-27 12:00:00,-0.29533446,0.9067,-160.99
2023-11-28 12:00:00,1.5,19.0,0.082734376,2023-11-27 12:00:00,0.38466552,0.3935,77.86
2023-11-28 12:00:00,1.5,19.5,-0.13726562,2023-11-27 12:00:00,-0.20533447,0.247,-123.76
2023-11-28 12:00:00,1.5,20.0,0.6127344,2023-11-27 12:00:00,-0.46533448,0.7694,-37.21
2023-11-28 12:00:00,1.5,20.5,1.0827343,2023-11-27 12:00:00,0.23466553,1.1079,12.23
2023-11-28 12:00:00,1.5,21.0,-1.1672657,2023-11-27 12:00:00,-0.68533444,1.3536,-149.58
2023-11-28 12:00:00,1.5,21.5,-0.6772656,2023-11-27 12:00:00,-1.8253344,1.9469,-110.36
2023-11-28 12:00:00,1.5,22.0,-0.9272656,2023-11-27 12:00:00,-0.94533443,1.3242,-134.45
2023-11-28 12:00:00,1.5,22.5,-1.5172656,2023-11-27 12:00:00,-0.93533444,1.7824,-148.35
2023-11-28 12:00:00,1.5,23.0,-1.7172656,2023-11-27 12:00:00,-0.21533448,1.7307,-172.85
2023-11-28 12:00:00,1.5,23.5,-0.13726562,2023-11-27 12:00:00,0.31466553,0.3433,113.57
2023-11-28 12:00:00,1.5,24.0,0.36273438,2023-11-27 12:00:00,-0.17533447,0.4029,-25.8
2023-11-28 12:00:00,1.5,24.5,-1.4672656,2023-11-27 12:00:00,-0.49533448,1.5486,-161.35
2023-11-28 12:00:00,1.5,25.0,-0.9072656,2023-11-27 12:00:00,-1.0753344,1.4069,-130.15
2023-11-28 12:00:00,1.5,25.5,-0.29726562,2023-11-27 12:00:00,-0.79533446,0.8491,-110.49
2023-11-28 12:00:00,1.5,26.0,-0.9572656,2023-11-27 12:00:00,-0.74533445,1.2132,-142.1
2023-11-28 12:00:00,1.5,26.5,-1.5172656,2023-11-27 12:00:00,-1.7453344,2.3126,-131.0
2023-11-28 12:00:00,1.5,27.0,-0.3772656,2023-11-27 12:00:00,-1.1053344,1.1679,-108.85
2023-11-28 12:00:00,1.5,27.5,0.76273435,2023-11-27 12:00:00,0.014665527,0.7629,1.1
2023-11-28 12:00:00,1.5,28.0,0.63273436,2023-11-27 12:00:00,-0.45533445,0.7795,-35.74
2023-11-28 12:00:00,1.5,28.5,-1.1472656,2023-11-27 12:00:00,-1.0153345,1.532,-138.49
2023-11-28 12:00:00,1.5,29.0,-1.4272656,2023-11-27 12:00:00,-1.3553344,1.9683,-136.48
2023-11-28 12:00:00,1.5,29.5,0.06273437,2023-11-27 12:00:00,-1.6753345,1.6765,-87.86
2023-11-28 12:00:00,1.5,30.0,-2.2572656,2023-11-27 12:00:00,-0.9053345,2.4321,-158.15
2023-11-28 12:00:00,1.5,30.5,-2.0472655,2023-11-27 12:00:00,-1.2653345,2.4067,-148.28
